instruction,context,response,category
Is change of hemopexin level associated with the severity of sepsis in endotoxemic rat model and the outcome of septic patients?,"The purpose of the study is to uncover the role of hemopexin (HPX) as anti-inflammatory mediator in animals and humans. We injected rats with 5 and 10 mg/kg of lipopolysaccharide to induce low- and high-grade endotoxemia (LGE and HGE), respectively, and we measured serum levels of tumor necrosis factor α, interleukin 6, and HPX at 0, 1, 3, and 6 hours after the injection. In a clinical study, we measured the initial serum HPX concentrations of septic shock patients. We evaluated the correlation between HPX levels and sepsis severity in rats and the predictive value of the HPX level for 28-day mortality of patients. In rats, serum interleukin 6 and tumor necrosis factor α concentrations were lower in LGE than in HGE, whereas the HPX level in HGE at 6 hours was significantly lower than in LGE (0.88, interquartile range [0.79-1.00] vs 1.33, interquartile range [1.29-1.49] mg/mL, P= .002). In patients, the initial serum HPX level in nonsurvivors was significantly lower than in survivors (0.75 vs 1.02 mg/mL, P< .001). Multivariate logistic regression analysis revealed that HPX exhibited independent prognostic value for 28-day mortality, and its levels were closely related to Acute Physiology and Chronic Health Evaluation II scores.",Low serum HPX levels are related to sepsis severity and could indicate poor prognosis for septic shock patients.,closed_qa
Can a clinically useful aortic pressure wave be derived from a radial pressure wave?,"The information contained in arterial pressure waveforms is probably underused by most clinicians who manage critically ill patients. It is not generally known that an aortic pressure wave can be synthesized by applying a generalized transfer function to the radial arterial pressure wave. We validated a commercially available system, SphygmoCo (PWV Medical, Sydney). Ascending aortic pressure waves were synthesized and comparisons were made between the synthesized aortic waveforms, the measured aortic and radial arterial waveforms. Ascending aortic pressure waves (catheter-tip manometer) and radial artery pressure waves (short fluid-filled catheter) were recorded simultaneously in 12 patients with angina pectoris (age 62-76 years) undergoing cardiac catheterization. Patients were studied at rest, following midazolam, sublingual nitroglycerin and during Valsalva manoeuvres. Both midazolam and nitroglycerin lowered mean arterial pressure but nitroglycerin caused a more selective decrease in the measured and synthesized aortic systolic pressures than in the radial artery pressure. The synthesized aortic systolic pressure was less, by 6-8 mm Hg (SD 2-3) and the synthesized aortic diastolic pressure greater, by 4 mm Hg (SD 2). Despite these differences in pulse pressure, the synthesized waveform tracked the measured waveform before and during interventions.","By deriving an aortic waveform from the radial pulse, monitoring of left ventricular afterload can improve without more invasive means.",closed_qa
Is increased calcium supplementation associated with morbidity and mortality in the infant postoperative cardiac patient?,"The purpose of this study was to assess the association of calcium replacement therapy with morbidity and mortality in infants after cardiac surgery involving cardiopulmonary bypass. Retrospective chart review. The cardiac intensive care unit at a tertiary care children's hospital. Infants undergoing cardiac surgery involving cardiopulmonary bypass between October 2002 and August 2004. None. Total calcium replacement (mg/kg calcium chloride given) for the first 72 postoperative hours was measured. Morbidity and mortality data were collected. The total volume of blood products given during the first 72 hrs was recorded. Infants with confirmed chromosomal deletions at the 22q11 locus were noted. Correlation and logistic regression analyses were used to generate odds ratios and 95% confidence intervals, with p < .05 being significant. One hundred seventy-one infants met inclusion criteria. Age was 4 +/- 3 months and weight was 4.9 +/- 1.7 kg at surgery. Six infants had deletions of chromosome 22q11. Infants who weighed less required more calcium replacement (r = -.28, p < .001). Greater calcium replacement correlated with a longer intensive care unit length of stay (r = .27, p < .001) and a longer total hospital length of stay (r = .23, p = .002). Greater calcium replacement was significantly associated with morbidity (liver dysfunction [odds ratio, 3.9; confidence interval, 2.1-7.3; p < .001], central nervous system complication [odds ratio, 1.8; confidence interval, 1.1-3.0; p = .02], infection [odds ratio, 1.5; confidence interval, 1.0-2.2; p < .04], extracorporeal membrane oxygenation [odds ratio, 5.0; confidence interval, 2.3-10.6; p < .001]) and mortality (odds ratio, 5.8; confidence interval, 5.8-5.9; p < .001). Greater calcium replacement was not associated with renal insufficiency (odds ratio, 1.5; confidence interval, 0.9-2.3; p = .07). Infants with >1 sd above the mean of total calcium replacement received on average fewer blood products than the total study population.",Greater calcium replacement is associated with increasing morbidity and mortality. Further investigation of the etiology and therapy of hypocalcemia in this population is warranted.,closed_qa
Is plasma netrin-1 a diagnostic biomarker of human cancers?,"The axon guidance cues netrin-1 is a secreted protein overexpressed in many different cancer tissues. To determine whether plasma netrin-1 can be used as a diagnostic biomarker of human cancer. A total of 300 cancer plasma samples from breast, renal, prostate, liver, meningioma, pituitary adenoma, glioblastoma, lung, pancreatic and colon cancer patients were compared against 138 control plasma samples. Netrin-1 levels were quantified by ELISA and immunohistochemistry. Plasma netrin-1 levels were significantly increased in breast, renal, prostate, liver, meningioma, pituitary adenoma, and glioblastoma cancers as compared to control samples.",Our results suggest that plasma netrin-1 can be used as a diagnostic biomarker for many human cancers.,closed_qa
Does emotional intelligence predict breaking bad news skills in pediatric interns?,"While both patients and physicians identify communication of bad news as an area of great challenge, the factors underlying this often complex task remain largely unknown. Emotional intelligence (EI) has been positively correlated with good general communication skills and successful leadership, but there is no literature relating EI to the delivery of bad news. Our objectives were to determine: 1) performance of first-year pediatric residents in the delivery of bad news in a standardized patient (SP) setting; and 2) the role of EI in these assessments. Our hypothesis was that pediatric trainees with higher EI would demonstrate more advanced skills in this communication task. Forty first-year residents participated. Skill in bad news delivery was assessed via SP encounters using a previously published assessment tool (GRIEV_ING Death Notification Protocol). Residents completed the Emotional and Social Competency Inventory (ESCI) as a measure of EI. Residents scored poorly on bad news delivery skills but scored well on EI. Intraclass correlation coefficients indicated moderate to substantial inter-rater reliability among raters using the delivering bad news assessment tool. However, no correlation was found between bad news delivery performance and EI.","We concluded that first-year pediatric residents have inadequate skills in the delivery of bad news. In addition, our data suggest that higher EI alone is not sufficient to effectively deliver death news and more robust skill training is necessary for residents to gain competence and acquire mastery in this important communication domain.",closed_qa
Cognitive status at admission: does it affect the rehabilitation outcome of elderly patients with hip fracture?,"To determine the effect of cognitive status at admission on functional gain during rehabilitation of elderly hip-fractured patients. Cohort study. A hospital geriatric rehabilitation department. Two hundred twenty-four elderly patients admitted consecutively for rehabilitation after surgery for hip fracture. Cognitive status was assessed by the Mini-Mental State Examination and the cognitive subscale of the Functional Independence Measure (cognFIM); functional status was assessed by the motor subscale of FIM; absolute functional gain was determined by the motor FIM gain (deltamotFIM); and relative functional gain (based on the potential for improvement) by the Montebello rehabilitation factor score (MRFS). A significant increase in FIM scores (19.7) occurred during rehabilitation, mainly due to motor functioning (19.1). When the relative functional gain (as measured by both motor MRFS efficacy [r = .591] and efficiency [r = .376]was compared with the absolute gain (as measured by deltamotFIM [r = .304]), a stronger association between cognFIM and the relative measures was found. In addition, motor FIM efficacy and efficiency were significantly lower in the cognitively impaired patients (p<.01). A better rehabilitation outcome was seen in patients with higher admission cognitive status, adjusting for the effects of age, sex, length of stay, and type of fracture (odds ratio = 2.2, 95% confidence interval 1.5-3.7).","Impaired cognitive status at admission lowered the rehabilitation outcome of elderly hip fracture patients. Cognitive impairment was strongly and directly associated with functional gain in these patients. Absolute motor gain appeared to be independent of cognitive status, whereas the relative motor gain depended on it. These findings support the implementation of comprehensive rehabilitation for selected cognitively impaired elderly hip fracture patients.",closed_qa
Is a history of early life parental loss or separation associated with successful cognitive-behavioral therapy in major depressive disorder?,"There is a clinical need for evidence-based psychotherapy response biomarkers in major depressive disorder (MDD). Based on previous studies, we hypothesized that lower 24-h urinary cortisol levels and a history of early life stress/trauma would predict an improved antidepressant response to cognitive-behavioral therapy (CBT). 50 currently depressed MDD subjects were enrolled. 24-h urine was collected and measured for cortisol levels by radioimmunoassay (RIA). Subjects were also administered early life stress/trauma measures at baseline: Global Perceived Early-Life Stress (GPELS), The Early Life Trauma Inventory (ELTI) and Klein Loss Scale (KLS). The efficacy of a twelve-week course of once-weekly CBT was evaluated by the primary outcome measure, the 24-item Hamilton Depression Rating Scale (HDRS24), at baseline and every four weeks, and the Beck Depression Inventory at baseline and weekly thereafter. 42 subjects had at least one complete follow-up visit (≥4 weeks of CBT), and 30 subjects completed the full 12-week course. Baseline 24-h urinary cortisol levels did not correlate with CBT's antidepressant response. Higher KLS scores, a measure of early life parental loss or separation, correlated with delta HDRS24 (rs=-0.39, padjusted=0.05). Complementary general linear model analysis revealed enhanced CBT efficacy in patients with a history of early life parental loss or separation [F(1,35)=6.65, p=0.01].","Small sample size, Treatment-naïve population.",closed_qa
Is tegafur-uracil a safe alternative for the treatment of colorectal cancer in patients with partial dihydropyrimidine dehydrogenase deficiency : a proof of principle?,"The objective of this study was to evaluate the safety of using tegafur-uracil (UFT) in colorectal cancer patients with partial dihydropyrimidine dehydrogenase (DPD) deficiency. The study included five colorectal cancer patients who presented with acute toxicity (grades 3 and 4) after being given the first cycle of chemotherapy using 5-fluorouracil. The DPD deficiency was confirmed by gene sequencing. After a full recovery from all side effects, we changed the regimen to UFT (300 mg/m(2)/day) associated with leucovorin (90 mg/day) for 21 days, with an empirical dose reduction of at least 10% in the first cycle. We prospectively analysed 22 UFT cycles in 5 patients. We did not observe any episodes of grade 3 or 4 toxicity. The predominant toxicities were of grades 1 and 2 (nausea, vomiting and diarrhoea).","Here, we demonstrate a complete absence of severe toxicity in all patients and cycles analysed. We believe that UFT is a safe alternative for the treatment of patients with partial DPD deficiency.",closed_qa
Does immunotherapy targeting folate receptor induce cell death associated with autophagy in ovarian cancer?,"Cancer cells are highly dependent on folate metabolism, making them susceptible to drugs that inhibit folate receptor activities. Targeting overexpressed folate receptor alpha (FRα) in cancer cells offers a therapeutic opportunity. We investigated the functional mechanisms of MORAB-003 (farletuzumab), a humanized mAb against FRα, in ovarian cancer models. We first examined FRα expression in an array of human ovarian cancer cell lines and then assessed the in vivo effect of MORAB-003 on tumor growth and progression in several orthotopic mouse models of ovarian cancer derived from these cell lines. Molecular mechanisms of tumor cell death induced by MORAB-003 were investigated by cDNA and protein expression profiling analysis. Mechanistic studies were performed to determine the role of autophagy in MORAB-003-induced cell death. MORAB-003 significantly decreased tumor growth in the high-FRα IGROV1 and SKOV3ip1 models but not in the low-FRα A2780 model. MORAB-003 reduced proliferation, but had no significant effect on apoptosis. Protein expression and cDNA microarray analyses showed that MORAB-003 regulated an array of autophagy-related genes. It also significantly increased expression of LC3 isoform II and enriched autophagic vacuolization. Blocking autophagy with hydroxychloroquine or bafilomycin A1 reversed the growth inhibition induced by MORAB-003. In addition, alteration of FOLR1 gene copy number significantly correlated with shorter disease-free survival in patients with ovarian serous cancer.",MORAB-003 displays prominent antitumor activity in ovarian cancer models expressing FRα at high levels. Blockade of folate receptor by MORAB-003 induced sustained autophagy and suppressed cell proliferation.,closed_qa
Is defective endovascular trophoblast invasion in the first trimester associated with increased maternal serum ischemia-modified albumin?,"Ischemia-modified albumin (IMA), a protein elevated in cardiac ischemia, is also increased to supra-physiological levels in early normal pregnancy. This finding supports the hypothesis that normal trophoblast development is stimulated by a hypoxic intrauterine environment. The aim of this study was to examine whether first trimester IMA levels are further elevated with defective trophoblast development. Prospective study of healthy women with singleton pregnancies undergoing nuchal translucency assessment at 11-14 weeks. First trimester maternal serum IMA concentrations in those subsequently developing pre-term pre-eclampsia (n = 19) were compared to randomly chosen controls with normal pregnancy outcome (n = 69). Median first trimester serum IMA concentrations were significantly higher in women who subsequently developed pre-eclampsia (median 126.5 kU/L, interquartile range (IQR) 114.33-134.36 kU/L) when compared to those with normal pregnancy outcome (median 115.01 kU/L, IQR 102.29-124.81 kU/L, P = 0.02).","Maternal serum IMA levels are elevated in the first trimester in women with pre-eclampsia, a clinical manifestation of defective endovascular trophoblast development. This suggests that abnormally high intrauterine hypoxia and subsequent reperfusion oxidative damage may be associated with defective trophoblast development. First trimester serum IMA may be a potential biomarker for abnormal placental development.",closed_qa
Is rapid gastric emptying more common than gastroparesis in patients with autonomic dysfunction?,"Autonomic dysfunction is associated with a wide variety of gastrointestinal symptoms. It is unclear how many patients with autonomic dysfunction have slow or rapid gastric emptying. The aim of this study was to determine the prevalence of rapid and delayed solid phase gastric emptying in patients with autonomic dysfunction referred for evaluation of gastrointestinal symptoms and the association of emptying rate with clinical symptoms. Retrospective review of all patients with autonomic dysfunction who had a gastric emptying test from January, 1996 to March, 2005. Demographic data, clinical symptoms, composite autonomic scoring scale (CASS) score, and gastric emptying parameters were analyzed. Sixty-one subjects (women 49, age 42 [16-74] yr) with autonomic dysfunction were reviewed. Patients had mild-to-moderate (mean CASS score 3) autonomic dysfunction. Twenty-seven, 17, and 17 patients had rapid, normal, and delayed gastric emptying t(1/2), respectively. In addition, 10 patients had initially rapid emptying in phase 1, with subsequent slowing in phase 2 to produce an overall normal or delayed t(1/2). There was no difference in demographic data or CASS score among the three groups. More patients with initial or overall rapid emptying had diarrhea (70%) compared to patients with normal (33%) or delayed (33%) emptying (P= 0.018).","Unexpectedly, more patients with autonomic dysfunction have rapid rather than delayed gastric emptying. The presence of diarrhea in patients with autonomic symptoms should prompt consideration for the presence of rapid gastric emptying. Conversely, the finding of rapid gastric emptying in patients with gastrointestinal symptoms should prompt consideration for the presence of underlying autonomic dysfunction.",closed_qa
Does conversion of high-response gonadotropin intrauterine insemination cycles to in vitro fertilization result in excellent ongoing pregnancy rates?,"To determine whether conversion of gonadotropin/IUI cycles at high risk of high-order multiple pregnancies to IVF yields a pregnancy rate high enough to warrant the added intervention. Case-control study. Brigham and Women's Hospital assisted reproductive technology program. Seventy-seven patients converted from gonadotropin/IUI to IVF, 77 consecutive age and attempt number-matched controls (sequential controls [SCs]), and 77 consecutive age-, attempt-, and E(2)-matched controls (E(2) controls [ECs]). Gonadotropin/IUI cycles with exuberant responses were converted to IVF (cases) to avoid cycle cancellation and high-order multiple pregnancies. Pregnancy rates, delivery rates, E(2) levels, follicle and oocyte number, and fertilization and implantation rates. Compared with SCs and ECs, cases had more follicles (16.3 +/- 0.6 vs. 13.3 +/- 0.9 and 14.4 +/- 0.9) and higher E(2) at hCG administration (1,951 +/- 93 vs. 1,568 +/- 96 and 1,939 +/- 89 pg/mL). Delivery rates among the three groups (45.5% vs. 32.5% and 39.0%) did not differ significantly. Despite the transfer of fewer embryos in cases than in controls (2.5 +/- 0.1 vs. 3.1 +/- 0.1 and 2.9 +/- 0.1), three triplet pregnancies occurred in cases and three in controls.",Conversion of high responder gonadotropin/IUI patients to IVF is an effective alternative to cycle cancellation and offers a delivery rate as high or higher per cycle than that of planned IVF. Sample size limited the statistical power of the study.,closed_qa
Do giardia lamblia infections become clinically evident by eliciting symptoms of irritable bowel syndrome?,"Giardia lamblia infection is often asymptomatic. Its main, but not well understood, symptom is diarrhea. An outbreak of giardiasis in our town allowed us to test the hypothesis that patients with symptomatic infection are, actually, patients with Irritable Bowel Syndrome (IBS) exacerbated by giardiasis. We studied 100 patients with symptomatic giardiasis. Eighty-two of them were also affected by IBS, according to the ""Rome 1992 Criteria"". They were randomized in four groups, two of which (A and B), made up of 41 patients each, included the subjects with giardiasis and IBS, whereas the remaining two (C and D), made of up of 9 patients each, included subjects with giardiasis only. The groups A and C were treated with metronidazole, whereas groups B and D were treated with drugs commonly used for IBS, but inactive against the parasite. According to a single blind protocol, the treatment with metronidazole was ineffective in the groups with giardiasis and IBS. Instead, the treatment for IBS ameliorated the symptoms in these patients. On the contrary, the groups without IBS improved only with metronidazole.",The large majority of patients with symptomatic giardiasis are affected by IBS and are not cured by antiparasite treatment.,closed_qa
Is non-high-density lipoprotein cholesterol concentration associated with the metabolic syndrome among US youth aged 12-19 years?,"To test the hypothesis that the concentration of non-high-density lipoprotein cholesterol (non-HDL-C) is associated with the metabolic syndrome (MetS) in youth. Data on children and adolescents aged 12-19 years (n = 2734) from the cross-sectional National Health and Nutrition Examination Survey 1999-2004 were analyzed. Depending on the definition of MetS used, the mean non-HDL-C concentration among youth with MetS ranged from 144.2 to 155.8 mg/dL, compared with 108.8-109.1 mg/dL in those without MetS (all P < .001). The MetS prevalence ranged from 6.9% to 11.7% in youth with a non-HDL-C concentration of 120-144 mg/dL and from 21.5% to 23.4% in those with a concentration ≥ 145 mg/dL-both significantly higher than the prevalence of 1.9%-3.4% in youth with a concentration <120 mg/dL (all P < .001). After adjustment for potential confounders, youth with a non-HDL-C concentration ≥ 120 mg/dL or ≥ 145 mg/dL were about 3 or 4 times more likely to have MetS compared with those with a non-HDL-C <120 mg/dL or <145 mg/dL (all P < .001).","Fasting non-HDL-C concentration was strongly associated with MetS in US youth. Our results support the use of non-HDL-C thresholds of 120 mg/dL and 145 mg/dL to indicate borderline and high MetS risk, respectively.",closed_qa
Is the mitochondrial genome of Globodera ellingtonae composed of two circles with segregated gene content and differential copy numbers?,"The evolution of animal mitochondrial (mt) genomes has resulted in a highly conserved structure: a single compact circular chromosome approximately 14 to 20 kb long. Within the last two decades exceptions to this conserved structure, such as the division of the genome into multiple chromosomes, have been reported in a diverse set of metazoans. We report on the two circle multipartite mt genome of a newly described cyst nematode, Globodera ellingtonae. The G. ellingtonae mt genome was found to be comprised of two circles, each larger than any other multipartite circular mt chromosome yet reported, and both were larger than the single mt circle of the model nematode Caenorhabditis elegans. The genetic content of the genome was disproportionately divided between the two circles, although they shared a ~6.5 kb non-coding region. The 17.8 kb circle (mtDNA-I) contained ten protein-coding genes and two tRNA genes, whereas the 14.4 kb circle (mtDNA-II) contained two protein-coding genes, 20 tRNA genes and both rRNA genes. Perhaps correlated with this division of genetic content, the copy number of mtDNA-II was more than four-fold that of mtDNA-I in individual nematodes. The difference in copy number increased between second-stage and fourth-stage juveniles.",The segregation of gene types to different mt circles in G. ellingtonae could provide benefit by localizing gene functional types to independent transcriptional units. This is the first report of both two-circle and several-circle mt genomes within a single genus. The differential copy number associated with this multipartite mt organization could provide a model system for deconstructing mechanisms regulating mtDNA copy number both in somatic cells and during germline development.,closed_qa
Does berberine chloride mediate its anti-leishmanial activity via differential regulation of the mitogen activated protein kinase pathway in macrophages?,"A complex interplay between Leishmania and macrophages influences parasite survival and necessitates disruption of signaling molecules, eventually resulting in impairment of macrophage function. In this study, we demonstrate the immunomodulatory activity of Berberine chloride in Leishmania infected macrophages. The IC(50) of Berberine chloride, a quaternary isoquinoline alkaloid was tested in an amastigote macrophage model and its safety index measured by a cell viability assay. It eliminated intracellular amastigotes, the IC(50) being 2.8 fold lower than its IC(50) in promastigotes (7.10 µM vs. 2.54 µM) and showed a safety index >16. Levels of intracellular and extracellular nitric oxide (NO) as measured by flow cytometry and Griess assay respectively showed that Berberine chloride in Leishmania infected macrophages increased production of NO. Measurement of the mRNA expression of iNOS, IL-12 and IL-10 by RT-PCR along with levels of IL-12p40 and IL-10 by ELISA showed that in infected macrophages, Berberine chloride enhanced expression of iNOS and IL-12p40, concomitant with a downregulation of IL-10. The phosphorylation status of extracellular signal related kinase (ERK1/2) and p38 mitogen activated protein kinase (p38 MAPK) was studied by western blotting. In infected macrophages, Berberine chloride caused a time dependent activation of p38 MAPK along with deactivation of ERK1/2; addition of a p38 MAPK inhibitor SB203580 inhibited the increased generation of NO and IL-12p40 by Berberine chloride as also prevented its decrease of IL-10.","Berberine chloride modulated macrophage effector responses via the mitogen activated protein kinase (MAPK) pathway, highlighting the importance of MAPKs as an antiparasite target.",closed_qa
Does early Cumulative Supplemental Oxygen predict Bronchopulmonary Dysplasia in High Risk Extremely Low Gestational Age Newborns?,"To assess the prognostic accuracy of early cumulative supplemental oxygen (CSO) exposure for prediction of bronchopulmonary dysplasia (BPD) or death, and to evaluate the independent association of CSO with BPD or death. We performed a secondary analysis of the Trial of Late Surfactant, which enrolled 511 infants born at ≤28 weeks gestational age who were mechanically ventilated at 7-14 days of life. Our primary outcome was BPD or death at 36 weeks postmenstrual age, as determined by a physiological oxygen/flow challenge. Average daily supplemental oxygen (fraction of inspired oxygen - 0.21) was calculated. CSO was calculated as the sum of the average daily supplemental oxygen over time periods of interest up to 28 days of age. Area under the receiver operating curve (AUROC) values were generated to evaluate the accuracy of CSO for prediction of BPD or death. The independent relationship between CSO and BPD or death was assessed in multivariate modeling, while adjusting for mean airway pressure. In the study infants, mean gestational age at birth was 25.2 ± 1.2 weeks and mean birth weight was 700 ± 165 g. The AUROC value for CSO at 14 days was significantly better than that at earlier time points for outcome prediction (OR, 0.70; 95% CI, 0.65-0.74); it did not increase with the addition of later data. In multivariate modeling, a CSO increase of 1 at 14 days increased the odds of BPD or death (OR, 1.7; 95% CI, 1.3-2.2; P < .0001), which corresponds to a 7% higher daily supplemental oxygen value.","In high-risk extremely low gestational age newborns, the predictive accuracy of CSO plateaus at 14 days. CSO is independently associated with BPD or death. This index may identify infants who could benefit from early intervention to prevent BPD.",closed_qa
Traumatic brain injury and ischemic stroke: a delayed sequela?,"Although the conventional risk factors of ischemic stroke are numerous and the physiopathological mechanisms are well known, we believe that there may be other less common factors that have received less attention by researchers but are nonetheless just as important. The aim of this study was to determine whether there is a long-term relationship between suffering severe traumatic brain injury (TBI) and the occurrence of ischemic stroke. A retrospective study was performed to examine 140 cases of severe TBI attended over the last 10 years and the delayed presentation (that is, more than a year later) of an ischemic stroke. A fundamental requirement was the absence of any other known risk factors and the location of the cerebral infarct had to be ipsilateral and adjacent to the injured area of the brain. Only three patients were detected who presented a late post-traumatic medium-sized stroke located in the cortico-subcortical region of the carotid territory, and who were diagnosed within an interval of time ranging between 11 and 16 months.","Based on the physiopathology put forward to account for the aetiological factors of diseases such as Parkinson, Alzheimer or post-traumatic epilepsy, we found reasons to consider severe TBI to be another predisposing factor of delayed ischemic stroke, with all the implications this involves in medical-legal matters. More extensive case mixes will be needed in order to confirm our proposition.",closed_qa
Is volume-based metabolic tumor response to neoadjuvant chemotherapy associated with an increased risk of recurrence in breast cancer?,"To evaluate the prognostic value of a volume-based metabolic tumor response to neoadjuvant chemotherapy in patients with locally advanced breast cancer. This study was approved by the institutional review board, with waivers of informed consent. One hundred sixty-seven patients (mean age, 44 years; range, 22-68 years) with clinical stage II or III breast cancer who underwent fluorine 18 fluorodeoxyglucose positron emission tomography/computed tomography scans at baseline and after completion of neoadjuvant chemotherapy between July 2006 and June 2013 were selected. The association between the metabolic response parameters and the disease-free survival was assessed by using a Cox proportional hazards regression model and time-dependent receiver operating characteristic curve analysis. Metabolic response parameters included the maximum standardized uptake value (SUVmax), the total metabolic tumor volume (MTVtotal), and the relative decrease in SUVmax and MTVtotal. In the Cox model, posttreatment SUVmax (P = .029) and MTVtotal (P = .028) and relative decreases in SUVmax (P = .032) and MTVtotal (P = .005) after neoadjuvant chemotherapy were significantly associated with disease-free survival after adjusting for pretreatment clinical stage, yp stage, and tumor subtype. In the time-dependent receiver operating characteristic curve analysis, MTVtotal after neoadjuvant chemotherapy had the highest association with outcome compared with the other parameters (P < .001). MTVtotal of up to 0.2 cm(3) after neoadjuvant chemotherapy was significantly associated with a favorable outcome in patients who did not achieve pathologic complete response after neoadjuvant chemotherapy.","The volume-based metabolic tumor response to neoadjuvant chemotherapy is associated with an increased risk of recurrence, regardless of tumor subtype and pathologic tumor response.",closed_qa
Does [ Chemical components from essential oil of Pandanus amaryllifolius leave ]?,"To analyze the chemical compositions of Pandanus amaryllifolius leaves essential oil extracted by steam distillation. The essential oil of Pandanus amaryllifolius leaves was analyzed by gas chromatography-mass spectrum, and the relative content of each component was determined by area normalization method. 128 peaks were separated and 95 compounds were identified, which weighed 97.75%. The main chemical components of the essential oil were phytol (42.15%), squalene (16.81%), what's more pentadecanal (6.17%), pentadecanoic acid (4.49%), 3, 7, 11, 15-tetramethyl-2-hexadecen-1-ol (3.83%), phytone (2.05%) and the other 74 chemical compositions were firstly identified from the essential oil of Pandanus amaryllifolius leaves.","The chemical compositions of Pandanu samaryllifolius leaves essential oil was systematically, deeply isolated and identified for the first time. This experiment has provided scientific foundation for further utilization of Pandanus amaryllifolius leaves.",closed_qa
Neoadjuvant chemoradiation and duration of chemotherapy before surgical resection for pancreatic cancer: does time interval between radiotherapy and surgery matter?,"Neoadjuvant chemoradiation and chemotherapy provided for borderline or locally advanced, potentially resectable pancreatic adenocarcinoma improves resectability rates. Response to therapy is also an important prognostic factor. There are no data in the literature regarding optimal time interval or duration of chemotherapy after chemoradiation before surgery, and pathologic response rates. Using our database, we evaluated these relationships and the effect on overall and progression-free survival. We retrospectively analyzed the records of 83 patients who underwent neoadjuvant chemoradiation for locally advanced, potentially resectable, and borderline resectable pancreatic cancers before definitive resection. We divided patients into three groups according to time interval between completion of chemoradiation and resection: group A (0-10 weeks), group B (11-20 weeks), and group C (>20 weeks). After chemoradiation, patients underwent ongoing chemotherapy before resection. Pathologic response was defined as major (>95% fibrosis), partial (50-94% fibrosis), or minor (<50% fibrosis). There were 56 patients in group A, 17 patients in group B, and 10 patients in group C. Patients in groups B and C were significantly more likely to experience a major response than group A (p<0.013). Patients in group C had significantly increased median progression-free and overall survival (p<0.05). Multivariable classification and regression tree analysis demonstrated pathologic response to be the only significant factor in overall survival.","Patients who underwent a prolonged time interval after neoadjuvant chemoradiation with ongoing chemotherapy were more likely to have an improved pathologic response at time of surgical resection, which was associated with improved median overall survival.",closed_qa
The post ACOSOG Z0011 era: does our new understanding of breast cancer really change clinical practice?,"The ACOSOG Z0011 trial (Z0011) expanded our thinking about breast cancer (BC) and showed that limited metastatic disease left behind in the axilla did not compromise oncological safety in a selected group of patients. The aim of the current study was to assess the potential impact of Z0011 on clinical practice by testing the applicability of its criteria to a European patient population. We reviewed a consecutive series of 389 sentinel lymph node biopsies (SLNB) performed for invasive BC at the University Hospital Basel between 2003 and 2009 (65.6% of all surgically treated patients, n = 593). When compared to the axillary lymph node dissection (ALND) arm of Z0011, our patients had significantly less advanced LN involvement (≥ 3 LN: 8.5% vs. 21.0%, p = 0.048). Thirty-five patients (9.0%) met the Z0011 inclusion criteria and had 1-2 SLNs with macrometastases (5.9% of all surgically treated BC patients). If the inclusion criteria of Z0011 had been applied, a considerable number of LNs would have been missed in two cases (0.5% of all SLNBs).","The application of the Z0011 led to the omission of completion ALND in less than 10% of all SLNB procedures (<6% of all surgically treated BC patients); therefore, we do not think that the perception of Z0011 as ""practice changing"" is justified. On the other side, skeptics of the routine implementation of the Z0011 protocol may overestimate its potential hazards. When performing a thorough preoperative clinical axillary staging, the number of patients who would have been undertreated is minimal.",closed_qa
Is eGFR a reliable preoperative renal function parameter in patients with gastric cancer?,"To evaluate the validity of the estimated glomerular filtration rate (eGFR) as a preoperative renal function parameter in patients with gastric cancer. A retrospective study was conducted in 147 patients with gastric cancer. Preoperative creatinine clearance (Ccr), eGFR, and pre- and postoperative serum creatinine (sCr) data were examined. Preoperative Ccr and eGFR were then compared for their reliability in predicting postoperative renal dysfunction. Among 110 patients with normal preoperative Ccr values, 7 (6.3%) had abnormal postoperative sCr values, and among 112 patients with normal preoperative eGFR values, postoperative sCr was abnormal in 5 (4.5%) (P = 0.53). Among 37 patients with abnormal preoperative Ccr values, 30 (81.1%) had normal postoperative sCr values, and of 35 patients with abnormal preoperative eGFR values, postoperative sCr was normal in 25 (71.4%) (P = 0.34). Preoperative Ccr was significantly correlated with eGFR (r = 0.514), and postoperative sCr was significantly correlated with preoperative Ccr (r = -0.334) and eGFR (r = -0.02).",Preoperative eGFR is as effective as Ccr for predicting postoperative renal dysfunction. eGFR should therefore be used as an indicator of preoperative renal function in place of Ccr since it is a cheaper and easier to perform test.,closed_qa
